Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
New Zealand,lost,Australia,lost,2nd,Australia,Auckland,26-Feb-05,New Zealand,Home,Away,2nd,first,lost,86 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
South Africa,won,South Africa,lost,first,Zimbabwe,Durban,27-Feb-05,South Africa,Home,Away,first,2nd,lost,131 runs,won,green/fast/ bouncy,1stinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,won,2nd,South Africa,Durban,27-Feb-05,South Africa,Away,Home,2nd,first,won,131 runs,lost,green/fast/ bouncy,1stinningwinner,fast/high bounce
Australia,won,Australia,won,2nd,New Zealand,Wellington,1-Mar-05,New Zealand,Away,Home,2nd,first,won,7 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,lost,first,Australia,Wellington,1-Mar-05,New Zealand,Home,Away,first,2nd,lost,7 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
South Africa,won,South Africa,lost,2nd,Zimbabwe,Port Elizabeth,2-Mar-05,South Africa,Home,Away,2nd,first,lost,5 wickets,won,fast/ low bounce,2ndinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,won,first,South Africa,Port Elizabeth,2-Mar-05,South Africa,Away,Home,first,2nd,won,5 wickets,lost,fast/ low bounce,2ndinningwinner,fast/high bounce
Australia,won,Australia,lost,first,New Zealand,Napier,5-Mar-05,New Zealand,Away,Home,first,2nd,lost,122 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,won,2nd,Australia,Napier,5-Mar-05,New Zealand,Home,Away,2nd,first,won,122 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
India,won,India,won,first,Pakistan,Kochi,2-Apr-05,India,Home,Away,first,2nd,won,87 runs,lost,flat/dead\dry,1stinningwinner,flat/dead
India,won,India,won,first,Pakistan,Visakhapatnam,5-Apr-05,India,Home,Away,first,2nd,won,58 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
India,lost,Pakistan,lost,2nd,Pakistan,Jamshedpur,9-Apr-05,India,Home,Away,2nd,first,lost,106 runs,won,flat/dead\dry,1stinningwinner,flat/dead
India,lost,Pakistan,won,first,Pakistan,Ahmedabad,12-Apr-05,India,Home,Away,first,2nd,won,3 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Pakistan,won,first,Pakistan,Kanpur,15-Apr-05,India,Home,Away,first,2nd,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Pakistan,lost,2nd,Pakistan,Delhi,17-Apr-05,India,Home,Away,2nd,first,lost,159 runs,won,flat/dead/dry,1stinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,West Indies,Kingston,7-May-05,West Indies,Away,Home,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,South Africa,won,first,South Africa,Kingston,7-May-05,West Indies,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
South Africa,won,South Africa,won,2nd,West Indies,Kingston,8-May-05,West Indies,Away,Home,2nd,first,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,South Africa,lost,first,South Africa,Kingston,8-May-05,West Indies,Home,Away,first,2nd,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
South Africa,won,South Africa,lost,first,West Indies,Bridgetown,11-May-05,West Indies,Away,Home,first,2nd,lost,1 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,South Africa,won,2nd,South Africa,Bridgetown,11-May-05,West Indies,Home,Away,2nd,first,won,1 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
South Africa,won,South Africa,won,2nd,West Indies,Port of Spain,14-May-05,West Indies,Away,Home,2nd,first,won,6 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,South Africa,lost,first,South Africa,Port of Spain,14-May-05,West Indies,Home,Away,first,2nd,lost,6 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
South Africa,won,South Africa,won,2nd,West Indies,Port of Spain,15-May-05,West Indies,Away,Home,2nd,first,won,7 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,South Africa,lost,first,South Africa,Port of Spain,15-May-05,West Indies,Home,Away,first,2nd,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,Pakistan,won,2nd,Pakistan,Kingstown,18-May-05,West Indies,Home,Away,2nd,first,won,59 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Pakistan,lost,2nd,Pakistan,Gros Islet,21-May-05,West Indies,Home,Away,2nd,first,lost,40 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Pakistan,won,2nd,Pakistan,Gros Islet,22-May-05,West Indies,Home,Away,2nd,first,won,22 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
England,won,England,won,2nd,Bangladesh,The Oval,16-Jun-05,England,Home,Away,2nd,first,won,10 wickets,lost,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,lost,England,lost,first,England,The Oval,16-Jun-05,England,Away,Home,first,2nd,lost,10 wickets,won,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,won,Bangladesh,lost,2nd,Australia,Cardiff,18-Jun-05,England,Neutral,Neutral,2nd,first,lost,5 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,lost,Bangladesh,won,first,Bangladesh,Cardiff,18-Jun-05,England,Neutral,Neutral,first,2nd,won,5 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
England,won,England,lost,2nd,Australia,Bristol,19-Jun-05,England,Home,Away,2nd,first,lost,3 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Australia,lost,England,won,first,England,Bristol,19-Jun-05,England,Away,Home,first,2nd,won,3 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,first,Bangladesh,Nottingham,21-Jun-05,England,Home,Away,first,2nd,won,168 runs,lost, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
Bangladesh,lost,England,lost,2nd,England,Nottingham,21-Jun-05,England,Away,Home,2nd,first,lost,168 runs,won, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
Australia,won,Australia,lost,first,England,Chester-le-Street,23-Jun-05,England,Home,Away,first,2nd,lost,57 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,Australia,won,2nd,Australia,Chester-le-Street,23-Jun-05,England,Home,Away,2nd,first,won,57 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Australia,won,Australia,won,2nd,Bangladesh,Manchester,25-Jun-05,England,Neutral,Neutral,2nd,first,won,10 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,lost,Australia,lost,first,Australia,Manchester,25-Jun-05,England,Neutral,Neutral,first,2nd,lost,10 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,lost,2nd,Bangladesh,Leeds,26-Jun-05,England,Home,Away,2nd,first,lost,5 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,lost,England,won,first,England,Leeds,26-Jun-05,England,Away,Home,first,2nd,won,5 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,won,2nd,Bangladesh,Canterbury,30-Jun-05,England,Neutral,Neutral,2nd,first,won,6 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,lost,Australia,lost,first,Australia,Canterbury,30-Jun-05,England,Neutral,Neutral,first,2nd,lost,6 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,2nd,Australia,Leeds,7-Jul-05,England,Home,Away,2nd,first,won,9 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,lost,England,lost,first,England,Leeds,7-Jul-05,England,Away,Home,first,2nd,lost,9 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,won,2nd,England,Lords,10-Jul-05,England,Away,Home,2nd,first,won,7 wickets,lost,green,2ndinningwinner,fast/green/bouncy/swing
England,lost,Australia,lost,first,Australia,Lords,10-Jul-05,England,Home,Away,first,2nd,lost,7 wickets,won,green,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,won,2nd,England,The Oval,12-Jul-05,England,Away,Home,2nd,first,won,8 wickets,lost,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,lost,Australia,lost,first,Australia,The Oval,12-Jul-05,England,Home,Away,first,2nd,lost,8 wickets,won,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,India,Dambulla,30-Jul-05,Sri Lanka,Home,Away,2nd,first,lost,3 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
India,lost,Sri Lanka,won,first,Sri Lanka,Dambulla,30-Jul-05,Sri Lanka,Away,Home,first,2nd,won,3 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
India,won,India,lost,2nd,West Indies,Dambulla,31-Jul-05,Sri Lanka,Neutral,Neutral,2nd,first,lost,6 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
West Indies,lost,India,won,first,India,Dambulla,31-Jul-05,Sri Lanka,Neutral,Neutral,first,2nd,won,6 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,West Indies,Dambulla,2-Aug-05,Sri Lanka,Home,Away,first,2nd,won,50 runs,lost,dry/dusty,1stinningwinner,dry/dusty
West Indies,lost,Sri Lanka,lost,2nd,Sri Lanka,Dambulla,2-Aug-05,Sri Lanka,Away,Home,2nd,first,lost,50 runs,won,dry/dusty,1stinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,India,Dambulla,3-Aug-05,Sri Lanka,Home,Away,2nd,first,lost,4 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
India,lost,Sri Lanka,won,first,Sri Lanka,Dambulla,3-Aug-05,Sri Lanka,Away,Home,first,2nd,won,4 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
West Indies,won,West Indies,won,first,Sri Lanka,Colombo (RPS),6-Aug-05,Sri Lanka,Away,Home,first,2nd,won,33 runs,lost,dry/dusty,1stinningwinner,dry/dusty
Sri Lanka,lost,West Indies,lost,2nd,West Indies,Colombo (RPS),6-Aug-05,Sri Lanka,Home,Away,2nd,first,lost,33 runs,won,dry/dusty,1stinningwinner,dry/dusty
India,won,India,won,first,West Indies,Colombo (RPS),7-Aug-05,Sri Lanka,Home,Away,first,2nd,won,7 runs,lost,dry/dusty,1stinningwinner,dry/dusty
West Indies,lost,India,lost,2nd,India,Colombo (RPS),7-Aug-05,Sri Lanka,Neutral,Neutral,2nd,first,lost,7 runs,won,dry/dusty,1stinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,India,Colombo (RPS),9-Aug-05,Sri Lanka,Home,Away,first,2nd,won,18 runs,lost,dry/dusty,1stinningwinner,dry/dusty
India,lost,Sri Lanka,lost,2nd,Sri Lanka,Colombo (RPS),9-Aug-05,Sri Lanka,Away,Home,2nd,first,lost,18 runs,won,dry/dusty,1stinningwinner,dry/dusty
New Zealand,won,New Zealand,lost,first,Zimbabwe,Bulawayo,24-Aug-05,Zimbabwe,Away,Home,first,2nd,lost,192 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,won,2nd,New Zealand,Bulawayo,24-Aug-05,Zimbabwe,Home,Away,2nd,first,won,192 runs,lost,slow/low,1stinningwinner,slow/dusty
New Zealand,won,New Zealand,won,first,India,Bulawayo,26-Aug-05,Zimbabwe,Neutral,Neutral,first,2nd,won,51 runs,lost,slow/low,1stinningwinner,slow/dusty
India,lost,New Zealand,lost,2nd,New Zealand,Bulawayo,26-Aug-05,Zimbabwe,Neutral,Neutral,2nd,first,lost,51 runs,won,slow/low,1stinningwinner,slow/dusty
India,won,India,lost,first,Zimbabwe,Harare,29-Aug-05,Zimbabwe,Away,Home,first,2nd,lost,161 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,India,won,2nd,India,Harare,29-Aug-05,Zimbabwe,Home,Away,2nd,first,won,161 runs,lost,slow/low,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,first,Bangladesh,Colombo (SSC),31-Aug-05,Sri Lanka,Home,Away,first,2nd,lost,88 runs,won,slow/low/dusty,1stinningwinner,dry/dusty
Bangladesh,lost,Sri Lanka,won,2nd,Sri Lanka,Colombo (SSC),31-Aug-05,Sri Lanka,Away,Home,2nd,first,won,88 runs,lost,slow/low/dusty,1stinningwinner,dry/dusty
New Zealand,won,New Zealand,won,first,Zimbabwe,Harare,31-Aug-05,Zimbabwe,Away,Home,first,2nd,won,27 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,lost,2nd,New Zealand,Harare,31-Aug-05,Zimbabwe,Home,Away,2nd,first,lost,27 runs,won,slow/low,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,first,Bangladesh,Colombo (RPS),2-Sep-05,Sri Lanka,Home,Away,first,2nd,lost,75 runs,won,dry/dusty,1stinningwinner,dry/dusty
Bangladesh,lost,Sri Lanka,won,2nd,Sri Lanka,Colombo (RPS),2-Sep-05,Sri Lanka,Away,Home,2nd,first,won,75 runs,lost,dry/dusty,1stinningwinner,dry/dusty
India,won,India,lost,2nd,New Zealand,Harare,2-Sep-05,Zimbabwe,Neutral,Neutral,2nd,first,lost,6 wickets,won,slow/low,2ndinningwinner,slow/dusty
New Zealand,lost,India,won,first,India,Harare,2-Sep-05,Zimbabwe,Neutral,Neutral,first,2nd,won,6 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,2nd,Bangladesh,Colombo (RPS),4-Sep-05,Sri Lanka,Home,Away,2nd,first,won,6 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Bangladesh,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (RPS),4-Sep-05,Sri Lanka,Away,Home,first,2nd,lost,6 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
India,won,India,won,2nd,Zimbabwe,Harare,4-Sep-05,Zimbabwe,Away,Home,2nd,first,won,4 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,India,lost,first,India,Harare,4-Sep-05,Zimbabwe,Home,Away,first,2nd,lost,4 wickets,won,slow/low,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,lost,2nd,India,Harare,6-Sep-05,Zimbabwe,Neutral,Neutral,2nd,first,lost,6 wickets,won,slow/low,2ndinningwinner,slow/dusty
India,lost,New Zealand,won,first,New Zealand,Harare,6-Sep-05,Zimbabwe,Neutral,Neutral,first,2nd,won,6 wickets,lost,slow/low,2ndinningwinner,slow/dusty
South Africa,won,South Africa,lost,2nd,New Zealand,Bloemfontein,23-Oct-05,South Africa,Home,Away,2nd,first,lost,2 wickets,won,fast/low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,won,first,South Africa,Bloemfontein,23-Oct-05,South Africa,Away,Home,first,2nd,won,2 wickets,lost,fast/low bounce,2ndinningwinner,fast/high bounce
India,won,India,won,first,Sri Lanka,Nagpur,25-Oct-05,India,Home,Away,first,2nd,won,152 runs,lost,flat/dead\dry,1stinningwinner,flat/dead
Sri Lanka,lost,India,lost,2nd,India,Nagpur,25-Oct-05,India,Away,Home,2nd,first,lost,152 runs,won,flat/dead\dry,1stinningwinner,flat/dead
India,won,India,won,2nd,Sri Lanka,Mohali,28-Oct-05,India,Home,Away,2nd,first,won,8 wickets,lost,flat/dead/bouncy,2ndinningwinner,flat/dead
Sri Lanka,lost,India,lost,first,India,Mohali,28-Oct-05,India,Away,Home,first,2nd,lost,8 wickets,won,flat/dead/bouncy,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,first,New Zealand,Cape Town,28-Oct-05,South Africa,Home,Away,first,2nd,won,19 runs,lost,green/fast/low bounce,1stinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,2nd,South Africa,Cape Town,28-Oct-05,South Africa,Away,Home,2nd,first,lost,19 runs,won,green/fast/low bounce,1stinningwinner,fast/high bounce
South Africa,won,South Africa,won,2nd,New Zealand,Port Elizabeth,30-Oct-05,South Africa,Home,Away,2nd,first,won,4 wickets,lost,fast/ low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,first,South Africa,Port Elizabeth,30-Oct-05,South Africa,Away,Home,first,2nd,lost,4 wickets,won,fast/ low bounce,2ndinningwinner,fast/high bounce
India,won,India,lost,2nd,Sri Lanka,Jaipur,31-Oct-05,India ,Home,Away,2nd,first,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead 
Sri Lanka,lost,India,won,first,India,Jaipur,31-Oct-05,India ,Away,Home,first,2nd,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead 
India,won,India,won,2nd,Sri Lanka,Pune,3-Nov-05,India,Home,Away,2nd,first,won,4 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
Sri Lanka,lost,India,lost,first,India,Pune,3-Nov-05,India,Away,Home,first,2nd,lost,4 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,2nd,New Zealand,Centurion,6-Nov-05,South Africa,Home,Away,2nd,first,won,5 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,first,South Africa,Centurion,6-Nov-05,South Africa,Away,Home,first,2nd,lost,5 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,won,2nd,India,Ahmedabad,6-Nov-05,India,Away,Home,2nd,first,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Sri Lanka,lost,first,Sri Lanka,Ahmedabad,6-Nov-05,India,Home,Away,first,2nd,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,won,2nd,Sri Lanka,Rajkot,9-Nov-05,India,Home,Away,2nd,first,won,7 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
Sri Lanka,lost,India,lost,first,India,Rajkot,9-Nov-05,India,Away,Home,first,2nd,lost,7 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,lost,2nd,Sri Lanka,Vadodara,12-Nov-05,India,Home,Away,2nd,first,lost,5 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
Sri Lanka,lost,India,won,first,India,Vadodara,12-Nov-05,India,Away,Home,first,2nd,won,5 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,2nd,India,Hyderabad (Deccan),16-Nov-05,India,Away,Home,2nd,first,won,5 wickets,lost,dusty/slow,2ndinningwinner,flat/dead
India,lost,South Africa,lost,first,South Africa,Hyderabad (Deccan),16-Nov-05,India,Home,Away,first,2nd,lost,5 wickets,won,dusty/slow,2ndinningwinner,flat/dead
India,won,India,won,2nd,South Africa,Bengaluru,19-Nov-05,India,Home,Away,2nd,first,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,lost,India,lost,first,India,Bengaluru,19-Nov-05,India,Away,Home,first,2nd,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,2nd,India,Kolkata,25-Nov-05,India,Away,Home,2nd,first,won,10 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,South Africa,lost,first,South Africa,Kolkata,25-Nov-05,India,Home,Away,first,2nd,lost,10 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,won,2nd,South Africa,Mumbai,28-Nov-05,India,Home,Away,2nd,first,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,lost,India,lost,first,India,Mumbai,28-Nov-05,India,Away,Home,first,2nd,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Australia,won,Australia,lost,first,New Zealand,Auckland,3-Dec-05,New Zealand,Away,Home,first,2nd,lost,147 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,won,2nd,Australia,Auckland,3-Dec-05,New Zealand,Home,Away,2nd,first,won,147 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,New Zealand,Wellington,7-Dec-05,New Zealand,Away,Home,first,2nd,won,2 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,lost,2nd,Australia,Wellington,7-Dec-05,New Zealand,Home,Away,2nd,first,lost,2 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,2nd,Australia,Christchurch,10-Dec-05,New Zealand,Home,Away,2nd,first,won,2 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,lost,New Zealand,lost,first,New Zealand,Christchurch,10-Dec-05,New Zealand,Away,Home,first,2nd,lost,2 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
England,won,England,won,first,Pakistan,Lahore,10-Dec-05,Pakistan,Away,Home,first,2nd,won,42 runs,lost,flat/dead,1stinningwinner, flat/dead
England,lost,Pakistan,won,first,Pakistan,Lahore,12-Dec-05,Pakistan,Away,Home,first,2nd,won,7 wickets,lost,flat/dead,2ndinningwinner, flat/dead
England,lost,Pakistan,won,2nd,Pakistan,Karachi,15-Dec-05,Pakistan,Away,Home,2nd,first,won,165 runs,lost,flat/dead,1stinningwinner, flat/dead
England,lost,Pakistan,lost,2nd,Pakistan,Rawalpindi,19-Dec-05,Pakistan,Away,Home,2nd,first,lost,13 runs,won,flat/dead,1stinningwinner, flat/dead
England,won,England,won,first,Pakistan,Rawalpindi,21-Dec-05,Pakistan,Away,Home,first,2nd,won,6 runs,lost,flat/dead,1stinningwinner, flat/dead
New Zealand,won,New Zealand,won,2nd,Sri Lanka,Queenstown,31-Dec-05,New Zealand,Home,Away,2nd,first,won,7 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,lost,first,New Zealand,Queenstown,31-Dec-05,New Zealand,Away,Home,first,2nd,lost,7 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,2nd,Sri Lanka,Christchurch,3-Jan-06,New Zealand,Home,Away,2nd,first,won,5 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,lost,first,New Zealand,Christchurch,3-Jan-06,New Zealand,Away,Home,first,2nd,lost,5 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,first,Sri Lanka,Wellington,6-Jan-06,New Zealand,Home,Away,first,2nd,won,21 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,lost,2nd,New Zealand,Wellington,6-Jan-06,New Zealand,Away,Home,2nd,first,lost,21 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,won,first,New Zealand,Napier,8-Jan-06,New Zealand,Away,Home,first,2nd,won,20 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,lost,2nd,Sri Lanka,Napier,8-Jan-06,New Zealand,Home,Away,2nd,first,lost,20 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,Sri Lanka,Melbourne (Docklands),13-Jan-06,Australia,Home,Away,first,2nd,lost,116 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,2nd,Australia,Melbourne (Docklands),13-Jan-06,Australia,Away,Home,2nd,first,won,116 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,lost,2nd,Australia,Brisbane,15-Jan-06,Australia,Away,Home,2nd,first,lost,5 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
Australia,lost,South Africa,won,first,South Africa,Brisbane,15-Jan-06,Australia,Home,Away,first,2nd,won,5 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,lost,first,South Africa,Brisbane,17-Jan-06,Australia,Neutral,Neutral,first,2nd,lost,94 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,lost,Sri Lanka,won,2nd,Sri Lanka,Brisbane,17-Jan-06,Australia,Neutral,Neutral,2nd,first,won,94 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
Australia,won,Australia,won,first,South Africa,Melbourne (Docklands),20-Jan-06,Australia,Home,Away,first,2nd,won,59 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,lost,Australia,lost,2nd,Australia,Melbourne (Docklands),20-Jan-06,Australia,Away,Home,2nd,first,lost,59 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,first,Australia,Sydney,22-Jan-06,Australia,Away,Home,first,2nd,won,51 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,lost,2nd,Sri Lanka,Sydney,22-Jan-06,Australia,Home,Away,2nd,first,lost,51 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,first,Sri Lanka,Adelaide,24-Jan-06,Australia,Neutral,Neutral,first,2nd,won,9 runs,lost, fast/dusty/dry,1stinningwinner,fast/ high bounce
Sri Lanka,lost,South Africa,lost,2nd,South Africa,Adelaide,24-Jan-06,Australia,Neutral,Neutral,2nd,first,lost,9 runs,won, fast/dusty/dry,1stinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,Sri Lanka,Adelaide,26-Jan-06,Australia,Home,Away,2nd,first,lost,5 wickets,won, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,first,Australia,Adelaide,26-Jan-06,Australia,Away,Home,first,2nd,won,5 wickets,lost, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,Sri Lanka,Perth,29-Jan-06,Australia,Home,Away,2nd,first,lost,6 wickets,won,fast/bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,first,Australia,Perth,29-Jan-06,Australia,Away,Home,first,2nd,won,6 wickets,lost,fast/bouncy,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,lost,2nd,Sri Lanka,Perth,31-Jan-06,Australia,Neutral,Neutral,2nd,first,lost,5 wickets,won,fast/bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,South Africa,won,first,South Africa,Perth,31-Jan-06,Australia,Neutral,Neutral,first,2nd,won,5 wickets,lost,fast/bouncy,2ndinningwinner,fast/ high bounce
Australia,won,Australia,won,first,South Africa,Melbourne (Docklands),3-Feb-06,Australia,Home,Away,first,2nd,won,80 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,lost,Australia,lost,2nd,Australia,Melbourne (Docklands),3-Feb-06,Australia,Away,Home,2nd,first,lost,80 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
