Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
India,lost,Australia,won,first,Australia,Perth,30-Jan-00,Australia,Away,Home,first,2nd,won,4 wickets,lost,fast/bouncy,2ndinningwinner,fast/ high bounce
England,won,England,lost,2nd,Zimbabwe,Kimberley,30-Jan-00,South Africa,Neutral,Neutral,2nd,first,lost,8 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
Zimbabwe,lost,England,won,first,England,Kimberley,30-Jan-00,South Africa,Neutral,Neutral,first,2nd,won,8 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
Australia,won,Australia,lost,2nd,Pakistan,Melbourne,2-Feb-00,Australia,Home,Away,2nd,first,lost,6 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
Zimbabwe,won,Zimbabwe,lost,2nd,South Africa,Durban,2-Feb-00,South Africa,Away,Home,2nd,first,lost,2 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,lost,Zimbabwe,won,first,Zimbabwe,Durban,2-Feb-00,South Africa,Home,Away,first,2nd,won,2 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Australia,won,Australia,won,first,Pakistan,Sydney,4-Feb-00,Australia,Home,Away,first,2nd,won,152 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,2nd,England,East London,4-Feb-00,South Africa,Home,Away,2nd,first,won,2 wickets,lost,green,2ndinningwinner,fast/high bounce
England,lost,South Africa,lost,first,South Africa,East London,4-Feb-00,South Africa,Away,Home,first,2nd,lost,2 wickets,won,green,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,won,first,Zimbabwe,Port Elizabeth,6-Feb-00,South Africa,Home,Away,first,2nd,won,53 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
Zimbabwe,lost,South Africa,lost,2nd,South Africa,Port Elizabeth,6-Feb-00,South Africa,Away,Home,2nd,first,lost,53 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,lost,first,Pakistan,Karachi,13-Feb-00,Pakistan,Away,Home,first,2nd,lost,29 runs,won,flat/dead,1stinningwinner, flat/dead
South Africa,won,South Africa,lost,first,England,Johannesburg,13-Feb-00,South Africa,Home,Away,first,2nd,lost,38 runs,won,green/fast/ bouncy,1stinningwinner,fast/high bounce
