Team1,Team2,Ground,Toss,Bat,Winner
England, Sri Lanka,Gros Islet,loss,2nd,England
Australia, Pakistan,Gros Islet,win,2nd,Australia
England, Australia,Bridgetown,win,2nd,England
South Africa, West Indies,North Sound,loss,first,South Africa
South Africa, West Indies,North Sound,loss,first,South Africa
New Zealand, Sri Lanka,Lauderhill,win,first,New Zealand
Sri Lanka, New Zealand,Lauderhill,loss,2nd,Sri Lanka
India, Zimbabwe,Harare,win,2nd,India
India, Zimbabwe,Harare,win,2nd,India
Pakistan, Australia,Birmingham,win,first,Pakistan
Pakistan, Australia,Birmingham,win,first,Pakistan
England, Pakistan,Cardiff,win,2nd,England
England, Pakistan,Cardiff,loss,2nd,England
South Africa, Zimbabwe,Bloemfontein,loss,2nd,South Africa
South Africa, Zimbabwe,Kimberley,win,first,South Africa
South Africa, Pakistan,Abu Dhabi,loss,2nd,South Africa
South Africa, Pakistan,Abu Dhabi,loss,2nd,South Africa
Sri Lanka, Australia,Perth,loss,2nd,Sri Lanka
New Zealand, Pakistan,Auckland,win,2nd,New Zealand
New Zealand, Pakistan,Hamilton,loss,first,New Zealand
Pakistan, New Zealand,Christchurch,win,first,Pakistan
India, South Africa,Durban,win,first,India
England, Australia,Adelaide,loss,2nd,England
Australia, England,Melbourne,win,first,Australia
West Indies, Pakistan,Gros Islet,win,first,West Indies
India, West Indies,Port of Spain,loss,first,India
Sri Lanka, England,Bristol,win,2nd,Sri Lanka
Sri Lanka, Australia,Pallekele,loss,first,Sri Lanka
Sri Lanka, Australia,Pallekele,win,first,Sri Lanka
England, India,Manchester,loss,2nd,England
Pakistan, Zimbabwe,Harare,loss,first,Pakistan
Pakistan, Zimbabwe,Harare,win,first,Pakistan
England, West Indies,The Oval,win,2nd,England
West Indies, England,The Oval,loss,first,West Indies
Bangladesh, West Indies,Dhaka,win,2nd,Bangladesh
Australia, South Africa,Cape Town,loss,2nd,Australia
New Zealand, Zimbabwe,Harare,win,2nd,New Zealand
South Africa, Australia,Johannesburg,loss,2nd,South Africa
New Zealand, Zimbabwe,Harare,loss,first,New Zealand
England, India,Kolkata,loss,2nd,England
Pakistan, Sri Lanka,Abu Dhabi,loss,2nd,Pakistan
Pakistan, Bangladesh,Dhaka,win,first,Pakistan
Australia, India,Sydney,loss,first,Australia
India, Australia,Melbourne,loss,2nd,India
New Zealand, Zimbabwe,Auckland,loss,2nd,New Zealand
New Zealand, Zimbabwe,Hamilton,loss,2nd,New Zealand
New Zealand, South Africa,Wellington,win,2nd,New Zealand
South Africa, New Zealand,Hamilton,win,2nd,South Africa
South Africa, New Zealand,Auckland,loss,first,South Africa
Ireland, Kenya,Mombasa,win,2nd,Ireland
Ireland, Kenya,Mombasa,loss,2nd,Ireland
Pakistan, England,Dubai (DSC),loss,first,Pakistan
Ireland, Kenya,Mombasa,win,first,Ireland
England, Pakistan,Dubai (DSC),win,first,England
England, Pakistan,Abu Dhabi,win,first,England
Netherlands, Canada,Dubai (DSC),win,first,Netherlands
Scotland, Kenya,ICCA Dubai,win,first,Scotland
Ireland, Kenya,Dubai (DSC),loss,2nd,Ireland
Afghanistan, Netherlands,Dubai (DSC),loss,2nd,Afghanistan
Afghanistan, Canada,ICCA Dubai,win,first,Afghanistan
Ireland, Scotland,Dubai (DSC),win,first,Ireland
Ireland, Canada,Dubai (DSC),loss,2nd,Ireland
Netherlands, Scotland,ICCA Dubai,loss,2nd,Netherlands
Ireland, Netherlands,Dubai (DSC),win,2nd,Ireland
Scotland, Canada,Dubai (DSC),loss,2nd,Scotland
Ireland, Afghanistan,Dubai (DSC),loss,2nd,Ireland
Australia, West Indies,Gros Islet,loss,2nd,Australia
South Africa, India,Johannesburg,loss,first,South Africa
West Indies, Australia,Bridgetown,win,first,West Indies
Sri Lanka, Pakistan,Hambantota,win,first,Sri Lanka
Pakistan, Sri Lanka,Hambantota,win,first,Pakistan
England, West Indies,Nottingham,loss,2nd,England
West Indies, New Zealand,Lauderhill,loss,first,West Indies
West Indies, New Zealand,Lauderhill,win,first,West Indies
Bangladesh, Ireland,Belfast,loss,first,Bangladesh
Bangladesh, Ireland,Belfast,win,first,Bangladesh
Bangladesh, Ireland,Belfast,loss,2nd,Bangladesh
Scotland, Bangladesh,The Hague,win,first,Scotland
Bangladesh, Netherlands,The Hague,loss,2nd,Bangladesh
Netherlands, Bangladesh,The Hague,loss,2nd,Netherlands
India, Sri Lanka,Pallekele,loss,first,India
Pakistan, Australia,Dubai (DSC),win,2nd,Pakistan
South Africa, England,Chester-le-Street,win,2nd,South Africa
Australia, Pakistan,Dubai (DSC),loss,first,Australia
New Zealand, India,Chennai,loss,first,New Zealand
Sri Lanka, Zimbabwe,Hambantota,loss,first,Sri Lanka
Australia, Ireland,Colombo (RPS),loss,2nd,Australia
India, Afghanistan,Colombo (RPS),loss,first,India
South Africa, Zimbabwe,Hambantota,win,2nd,South Africa
New Zealand, Bangladesh,Pallekele,loss,first,New Zealand
England, Afghanistan,Colombo (RPS),loss,first,England
South Africa, Sri Lanka,Hambantota,loss,first,South Africa
Australia, West Indies,Colombo (RPS),loss,2nd,Australia
Pakistan, New Zealand,Pallekele,win,first,Pakistan
India, England,Colombo (RPS),loss,first,India
Pakistan, Bangladesh,Pallekele,loss,2nd,Pakistan
West Indies, England,Pallekele,win,first,West Indies
Pakistan, South Africa,Colombo (RPS),loss,2nd,Pakistan
Australia, India,Colombo (RPS),loss,2nd,Australia
England, New Zealand,Pallekele,loss,2nd,England
Sri Lanka, West Indies,Pallekele,loss,2nd,Sri Lanka
Australia, South Africa,Colombo (RPS),win,2nd,Australia
India, Pakistan,Colombo (RPS),loss,2nd,India
Sri Lanka, England,Pallekele,loss,first,Sri Lanka
Pakistan, Australia,Colombo (RPS),loss,first,Pakistan
India, South Africa,Colombo (RPS),loss,first,India
Sri Lanka, Pakistan,Colombo (RPS),win,first,Sri Lanka
West Indies, Australia,Colombo (RPS),win,first,West Indies
West Indies, Sri Lanka,Colombo (RPS),win,first,West Indies
West Indies, Bangladesh,Dhaka,win,first,West Indies
India, England,Pune,win,2nd,India
South Africa, New Zealand,Durban,loss,2nd,South Africa
England, India,Mumbai,win,2nd,England
New Zealand, South Africa,East London,win,2nd,New Zealand
Pakistan, India,Bengaluru,win,2nd,Pakistan
South Africa, New Zealand,Port Elizabeth,win,first,South Africa
India, Pakistan,Ahmedabad,loss,first,India
Sri Lanka, Australia,Sydney,loss,2nd,Sri Lanka
Sri Lanka, Australia,Melbourne,loss,first,Sri Lanka
England, New Zealand,Auckland,loss,first,England
New Zealand, England,Hamilton,loss,first,New Zealand
West Indies, Australia,Brisbane,win,first,West Indies
England, New Zealand,Wellington,win,2nd,England
West Indies, Zimbabwe,North Sound,loss,2nd,West Indies
Pakistan, South Africa,Centurion,win,first,Pakistan
Afghanistan, Scotland,Sharjah,win,first,Afghanistan
West Indies, Zimbabwe,North Sound,win,first,West Indies
Afghanistan, Scotland,Sharjah,loss,2nd,Afghanistan
Canada, Kenya,ICCA Dubai,loss,2nd,Canada
Kenya, Canada,ICCA Dubai,win,first,Kenya
Sri Lanka, Bangladesh,Pallekele,loss,first,Sri Lanka
Kenya, Netherlands,Windhoek,loss,2nd,Kenya
Kenya, Netherlands,Windhoek,win,2nd,Kenya
Zimbabwe, Bangladesh,Bulawayo,win,first,Zimbabwe
Bangladesh, Zimbabwe,Bulawayo,win,first,Bangladesh
New Zealand, England,The Oval,loss,first,New Zealand
Scotland, Kenya,Aberdeen,win,first,Scotland
Scotland, Kenya,Aberdeen,loss,2nd,Scotland
Pakistan, West Indies,Kingstown,loss,2nd,Pakistan
Pakistan, West Indies,Kingstown,win,first,Pakistan
South Africa, Sri Lanka,Colombo (RPS),win,first,South Africa
South Africa, Sri Lanka,Hambantota,win,first,South Africa
Sri Lanka, South Africa,Hambantota,loss,2nd,Sri Lanka
Pakistan, Zimbabwe,Harare,loss,first,Pakistan
Pakistan, Zimbabwe,Harare,loss,first,Pakistan
Australia, England,Southampton,loss,first,Australia
England, Australia,Chester-le-Street,loss,first,England
Afghanistan, Kenya,Sharjah,win,first,Afghanistan
India, Australia,Rajkot,win,2nd,India
Kenya, Afghanistan,Sharjah,win,first,Kenya
New Zealand, Bangladesh,Dhaka,win,first,New Zealand
South Africa, Pakistan,Dubai (DSC),loss,2nd,South Africa
Netherlands, Afghanistan,Sharjah,loss,2nd,Netherlands
South Africa, Pakistan,Dubai (DSC),win,first,South Africa
Afghanistan, Scotland,Sharjah,win,first,Afghanistan
Ireland, Canada,Abu Dhabi,loss,first,Ireland
Kenya, Scotland,ICCA Dubai,win,first,Kenya
South Africa, Pakistan,Johannesburg,loss,first,South Africa
Sri Lanka, New Zealand,Pallekele,win,2nd,Sri Lanka
Scotland, Netherlands,ICCA Dubai,loss,first,Scotland
Pakistan, South Africa,Cape Town,win,first,Pakistan
Netherlands, Kenya,ICCA Dubai,win,first,Netherlands
Afghanistan, Kenya,Sharjah,win,first,Afghanistan
Kenya, Canada,Sharjah,win,first,Kenya
Netherlands, Scotland,Abu Dhabi,loss,2nd,Netherlands
Ireland, Afghanistan,Abu Dhabi,win,first,Ireland
